Released in version:,Subfeature ID,Journey,Add-on,Feature,Sub Feature,Mobile,Web,Essential,Premium,Signature
2022.08-LTS or earlier,CC.15.1.11,Payments,,Initiate Payment,Download proof of a newly submitted payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.12,Payments,,Initiate Payment,Transaction Signing when submitting a payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.13,Payments,,Initiate Payment,Duplicate payment check,Available,Available,true,true,true
2022.11,CC.15.1.14,Payments,,Initiate Payment,Attach documents to a payment,Not Available,Available,true,true,true
2023.07,CC.15.1.15,Payments,,Initiate Payment,View rejection reason and rejection code on rejected payments,Available,Available,true,true,true
2024.06,CC.15.1.16,Payments,,Initiate Payment,View error message when trying to create a payment with insufficient funds,Available,Available,true,true,true
2024.06,CC.15.1.17,Payments,,Initiate Payment,Business Calendar,Available,Available,true,true,true
2025.03-LTS,CC.15.1.18,Payments,,Initiate Payment,Initiate international payments using FX Forward,Not Available,Available,false,true,true
2025.03-LTS,CC.15.1.19,Payments,,Initiate Payment,Initiate payments using FX Forward,Not Available,Available,true,true,true
2025.03-LTS,CC.15.1.20,Payments,"Feedzai
OR Identity Premium",Initiate Payment,Block payment based on high risk score returned from risk engine (Fraud Detection & Prevention),Available,Available,true,true,true
2025.03-LTS,CC.15.1.21,Payments,"Feedzai
OR Identity Premium",Initiate Payment,Skip MFA based on low risk score returned from risk engine (Fraud Detection & Prevention),Available,Available,true,true,true
2025.03-LTS,CC.15.1.22,Payments,,Initiate Payment,Restrict user to create payment from a template only,Not Available,Available,true,true,true
2025.09-LTS,CC.15.1.23,Payments,Local Bundle,Initiate Payment,Submit a US crossborder payment in USD currency,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.24,Payments,Local Bundle,Initiate Payment,Submit a US crossborder payment with FX conversion,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.25,Payments,Local Bundle,Initiate Payment,Submit a Non USD account crossborder payment in account currency,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.26,Payments,Local Bundle,Initiate Payment,Submit a drawdown Initiation request,Not Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.27,Payments,Local Bundle,Initiate Payment,Submit a CHAPS payment - Domestic Transfer,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.28,Payments,Local Bundle,Initiate Payment,Submit a Faster payment - Domestic Transfer,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.29,Payments,Local Bundle,Initiate Payment,Submit a SEPA Payment - International Transfer,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.30,Payments,Local Bundle,Initiate Payment,Submit a SWIFT Payment - International Transfer,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.31,Payments,Local Bundle,Initiate Payment,Initiate a Trusted Beneficiary check at the time of payment initiation,Available ,Available ,true,true,true
2025.09-LTS,CC.15.1.32,Payments,Local Bundle,Initiate Payment,Initiate a Confirmation of Payee Check at the time of contact creation in the payment journey,Available ,Available ,true,true,true
2025.09-LTS,CC.15.2.1,Payments,,Manage Templates,Create a new payment template,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.2,Payments,,Manage Templates,Save a submitted payment as a template,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.3,Payments,,Manage Templates,Create a payment from a template,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.4,Payments,,Manage Templates,View list of saved payment templates,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.5,Payments,,Manage Templates,Edit a saved payment template,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.6,Payments,,Manage Templates,Delete a saved payment template,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.2.7,Payments,,Manage Templates,Approve or reject a payment template,Not Available,Available,true,true,true
2025.09-LTS,CC.15.2.8,Payments,,Manage Templates,Manage secured fields for templates,Not Available,Available,true,true,true
2025.09-LTS,CC.15.3.1,Payments,,Manage Payments,View a list of submitted payment orders,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.2,Payments,,Manage Payments,View the current status of the payment order,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.3,Payments,,Manage Payments,View payment order details,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.4,Payments,,Manage Payments,View approval log for a selected payment order,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.5,Payments,,Manage Payments,Search for payment orders,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.6,Payments,,Manage Payments,Filter payment orders,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.7,Payments,,Manage Payments,Edit a payment order,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.8,Payments,,Manage Payments,Cancel a payment order,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.9,Payments,,Manage Payments,Download proof of an existing payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.3.10,Payments,,Manage Payments,Approve or reject a payment order,Available ,Available ,true,true,true
